"Reference","Qty","Value","LCSC"
"BZ1","1","Buzzer","C96093"
"C1,C2,C5,C6,C7,C10,C11,C12,C14,C17,C18,C20,C21,C22,C23,C24,C25,C26,C27","19","100nf","C49678"
"C3,C4","2","2.2u","C19110"
"C8","1","4.7u","C1779"
"C9,C13,C28","3","1u","C28323"
"C15,C16","2","18p","C113825"
"C19","1","10u","C2932476"
"CAN_IN1,CAN_OUT1","2","CAN","C17644051"
"D1","1","NeoPixel_THT","C2827321"
"D2,D3","2","D_Schottky","C113936"
"D4","1","SRV05-4.TCT","C13612"
"D6","1","1N5819WS","C191023"
"FB1","1","FerriteBead","C85840"
"J1","1","Microsemi_FlashPro-JTAG-10","C585350"
"J2,J4","2","Pyro","C17644051"
"J5,J6","2","Conn_01x05_Pin","C157991"
"J7","1","Conn_Coaxial_Small","C3172376"
"J8","1","Micro_SD_Card","C164170"
"J9","1","USB_C_Receptacle_USB2.0_16P","C165948"
"PowerLED1","1","RLED","C965799"
"Q1,Q2","2","IRLML2502TRPBF","C2589"
"Q3","1","BC817","C39828"
"R1,R5,R10,R15,R17,R18,R20","7","10k","C84376"
"R2","1","100k","C96346"
"R3","1","1k","C95781"
"R4,R9","2","100R","C17408"
"R6,R11","2","75k","C17819"
"R7,R12","2","47k","C2933415"
"R8","1","120R","C269726"
"R13,R14","2","5.1k","C27834"
"R16","1","33R","C17557"
"R19","1","470r","C2907267"
"R21,R22","2","4.7k","C17673"
"SW1,SW2","2","SAMZO G4R0015010","C49393646"
"U1","1","STM32F405RGT6","C15742"
"U2","1","SN65HVD230","C1543812"
"U3","1","PowerIn","C17644051"
"U4","1","LDL1117-3.3","C435835"
"U5","1","RFM95W-915S2","C2844473"
"U6","1","MPL3115A2R1","C54429"
"U7","1","LSM6DS3TR-C","C967633"
"U8","1","W25Q128JVP","C190862"
"U9","1","H3LIS331DL","C2655074"
"Y1","1","8mhz","C19723344"
